WN7 @ 19 dB baseSeed 10507 worker 1 burst 0 (channelSeed 1010508) MFB-form receiver, window [-8,18)
b0 anatomy: mean|ring|^2=4.97E-002 anchors=65 a0:E=2.03E-001@pk0 a1:E=2.02E-001@pk0 a2:E=1.66E-001@pk0 a3:E=1.41E-001@pk0 lock=//K@Hz
anchor-fit residual per block: b0:2.06E-004 b1:2.05E-004 b2:2.05E-004 b3:1.95E-004 b4:2.10E-004 b5:1.88E-004 b6:1.94E-004 b7:2.04E-004 b8:2.01E-004 b9:2.02E-004 b10:2.17E-004
truth-recon residual per block: b0:9.81E-004 b1:9.13E-004 b2:9.29E-004 b3:9.58E-004 b4:8.92E-004 b5:9.14E-004 b6:9.24E-004 b7:9.32E-004 b8:9.20E-004 b9:9.22E-004 b10:9.22E-004
R0 coded errors 177637/405504: b0:16298 b1:17043 b2:15885 b3:17636 b4:16515 b5:15869 b6:15731 b7:15333 b8:16218 b9:15962 b10:15147
R1 coded errors 54649/405504: b0:4751 b1:9055 b2:3700 b3:9458 b4:4273 b5:2937 b6:4478 b7:2609 b8:4994 b9:4878 b10:3516
R2 coded errors 10147/405504: b0:533 b1:3346 b2:236 b3:3231 b4:267 b5:287 b6:321 b7:137 b8:930 b9:688 b10:171
R3 coded errors 1731/405504: b0:15 b1:1118 b2:20 b3:442 b4:0 b5:42 b6:3 b7:0 b8:55 b9:14 b10:22
R4 coded errors 594/405504: b0:0 b1:437 b2:0 b3:146 b4:0 b5:0 b6:11 b7:0 b8:0 b9:0 b10:0
R5 coded errors 242/405504: b0:0 b1:223 b2:0 b3:19 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R6 coded errors 156/405504: b0:0 b1:156 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R7 coded errors 44/405504: b0:0 b1:44 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R8 coded errors 23/405504: b0:0 b1:23 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R9 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R10 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R11 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R12 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R13 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R14 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R15 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R16 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R17 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R18 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R19 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R20 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R21 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R22 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R23 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R24 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R25 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R26 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R27 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R28 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R29 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R30 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R31 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R32 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R33 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R34 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R35 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R36 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R37 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R38 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R39 coded errors 8/405504: b0:0 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R40 coded errors 18/405504: b0:0 b1:18 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
