WN7 @ 19 dB baseSeed 10507 worker 3 burst 0 (channelSeed 3010508) MFB-form receiver, window [-8,18)
b0 anatomy: mean|ring|^2=6.60E-002 anchors=65 a0:E=8.51E-002@pk10 a1:E=1.36E-001@pk0 a2:E=1.73E-001@pk0 a3:E=2.45E-001@pk0 lock=//K@Hz
anchor-fit residual per block: b0:1.90E-004 b1:2.02E-004 b2:2.00E-004 b3:2.09E-004 b4:1.94E-004 b5:2.13E-004 b6:2.05E-004 b7:2.16E-004 b8:1.99E-004 b9:1.91E-004 b10:1.93E-004
truth-recon residual per block: b0:9.17E-004 b1:9.26E-004 b2:9.32E-004 b3:9.67E-004 b4:8.98E-004 b5:9.55E-004 b6:9.22E-004 b7:9.01E-004 b8:8.74E-004 b9:9.23E-004 b10:9.02E-004
R0 coded errors 178478/405504: b0:15741 b1:16346 b2:15679 b3:16972 b4:17055 b5:16495 b6:16333 b7:16743 b8:15237 b9:15293 b10:16584
R1 coded errors 50287/405504: b0:3584 b1:4797 b2:2414 b3:5670 b4:9096 b5:6240 b6:3664 b7:6342 b8:1650 b9:2892 b10:3938
R2 coded errors 7755/405504: b0:153 b1:582 b2:104 b3:742 b4:3046 b5:938 b6:122 b7:1594 b8:19 b9:95 b10:360
R3 coded errors 949/405504: b0:0 b1:38 b2:0 b3:45 b4:500 b5:63 b6:0 b7:256 b8:0 b9:0 b10:47
R4 coded errors 309/405504: b0:0 b1:0 b2:0 b3:0 b4:166 b5:29 b6:0 b7:100 b8:0 b9:0 b10:14
R5 coded errors 118/405504: b0:0 b1:0 b2:0 b3:0 b4:83 b5:0 b6:0 b7:35 b8:0 b9:0 b10:0
R6 coded errors 64/405504: b0:0 b1:0 b2:0 b3:0 b4:31 b5:0 b6:0 b7:33 b8:0 b9:0 b10:0
R7 coded errors 79/405504: b0:0 b1:0 b2:0 b3:0 b4:54 b5:0 b6:0 b7:25 b8:0 b9:0 b10:0
R8 coded errors 40/405504: b0:0 b1:0 b2:0 b3:0 b4:26 b5:0 b6:0 b7:14 b8:0 b9:0 b10:0
R9 coded errors 47/405504: b0:0 b1:0 b2:0 b3:0 b4:29 b5:0 b6:0 b7:18 b8:0 b9:0 b10:0
R10 coded errors 17/405504: b0:0 b1:0 b2:0 b3:0 b4:17 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R11 coded errors 29/405504: b0:0 b1:0 b2:0 b3:0 b4:29 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R12 coded errors 17/405504: b0:0 b1:0 b2:0 b3:0 b4:17 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R13 coded errors 29/405504: b0:0 b1:0 b2:0 b3:0 b4:29 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R14 coded errors 17/405504: b0:0 b1:0 b2:0 b3:0 b4:17 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R15 coded errors 29/405504: b0:0 b1:0 b2:0 b3:0 b4:29 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R16 coded errors 17/405504: b0:0 b1:0 b2:0 b3:0 b4:17 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R17 coded errors 29/405504: b0:0 b1:0 b2:0 b3:0 b4:29 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R18 coded errors 17/405504: b0:0 b1:0 b2:0 b3:0 b4:17 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R19 coded errors 29/405504: b0:0 b1:0 b2:0 b3:0 b4:29 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R20 coded errors 17/405504: b0:0 b1:0 b2:0 b3:0 b4:17 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R21 coded errors 29/405504: b0:0 b1:0 b2:0 b3:0 b4:29 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R22 coded errors 17/405504: b0:0 b1:0 b2:0 b3:0 b4:17 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R23 coded errors 29/405504: b0:0 b1:0 b2:0 b3:0 b4:29 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R24 coded errors 17/405504: b0:0 b1:0 b2:0 b3:0 b4:17 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
